item_number	title	condition	description	email	type	piece_count	platform	media
61	Just Dance 2017	Heavily Used	Ubisoft Paris   	usr006@gt.edu	Video Game		PlayStation	Optical disc
62	Battleground 4: Shiloh	Heavily Used	TalonSoft	usr007@gt.edu	Computer Game		Windows	
63	Disney Pixar: Toy Story: Playing Around 	Lightly Used	Giant Floor Puzzle by Ravensburger	usr007@gt.edu	Jigsaw Puzzle	60		
64	Postal 2	Heavily Used	Running with Scissors	usr007@gt.edu	Computer Game		Linux	
65	Pixel Piracy	Lightly Used		usr007@gt.edu	Computer Game		Windows	
66	Michael Phelps: Push The Limit	Heavily Used	   Blitz Games Studios	usr007@gt.edu	Video Game		Xbox	Optical disc
67	Sengoku	Like New		usr007@gt.edu	Computer Game		macOS	
68	Land Ahoy! 	Damaged/Missing parts	Floor Jigsaw Puzzle By Ravensburger NEW	usr008@gt.edu	Jigsaw Puzzle	24		
69	Ancients	Like New		usr008@gt.edu	Board Game			
70	Brawlhalla	Heavily Used	Blue Mammoth Games   Ubisoft	usr008@gt.edu	Computer Game		Windows	
71	Assassin's Creed IV: Black Flag	Moderately Used		usr008@gt.edu	Computer Game		macOS	
72	Karaoke Revolution Presents: American Idol Encore	Moderately Used	Blitz Games   	usr008@gt.edu	Video Game		PlayStation	Game card
73	Brothers in Arms: Road to Hill 30	Moderately Used	Gearbox Software   Ubisoft	usr008@gt.edu	Computer Game		Windows	
74	Persona 4 Golden	Mint	Atlus   Sega	usr008@gt.edu	Computer Game		Windows	
75	NHL 99	Damaged/Missing parts	MBL Research   	usr008@gt.edu	Video Game		Nintendo	Cartridge
76	NASCAR 2000	Like New	EA Sports   	usr008@gt.edu	Video Game		Nintendo	Game card
77	Just Dance Kids	Like New	Land Ho!   	usr009@gt.edu	Video Game		PlayStation	Cartridge
78	"Guardians	"	Heavily Used		usr009@gt.edu	Card Game			
79	Pachinko 365 Nichi	Damaged/Missing parts	SETA Corporation   SETA Corporation	usr009@gt.edu	Video Game		Nintendo	Game card
80	SimCity Societies	Heavily Used		usr009@gt.edu	Computer Game		macOS	
81	HumanKind 	Lightly Used	SALO   	usr009@gt.edu	Card Game			
82	Abz	Lightly Used	Giant Squid Studios   505 Games	usr009@gt.edu	Computer Game		Windows	
83	Troy	Damaged/Missing parts	Chaosium  1977	usr010@gt.edu	Board Game			
84	A Bird Story	Like New	Freebird Games	usr010@gt.edu	Computer Game		Windows	
85	Oh My Goddess!	Like New	based on the Japanese manga series written and illustrated by Kosuke Fujishima   	usr010@gt.edu	Card Game			
86	Eiffel Tower	Lightly Used	3D Jigsaw Puzzle By Ravensburger	usr010@gt.edu	Jigsaw Puzzle	216		
87	Wreck It Ralph 2 	Moderately Used		usr010@gt.edu	Jigsaw Puzzle	150		
88	"WARS Trading Card Game	"	Like New	Decipher Inc.   	usr010@gt.edu	Card Game			
89	Dragon Ball Super Card Game 	Lightly Used	Bandai   	usr010@gt.edu	Card Game			
90	Candy Thun (art)	Moderately Used		usr010@gt.edu	Jigsaw Puzzle	40		
91	Madden NFL 06	Lightly Used		usr010@gt.edu	Video Game		Xbox	Cartridge
92	Black Skylands	Like New	Hungry Couch Games   tinyBuild	usr010@gt.edu	Computer Game		macOS	
93	Kabal	Damaged/Missing parts	MultiSim   	usr011@gt.edu	Card Game			
94	Stronghold	Like New		usr011@gt.edu	Computer Game		Windows	
95	Meteos Wars	Mint	Puzzle & Trivia   Q Entertainment	usr011@gt.edu	Video Game		Xbox	Game card
96	Exodus The Trading Card Game 	Like New	Existence Games   	usr011@gt.edu	Card Game			
97	The Elder Scrolls II: Daggerfall	Lightly Used		usr011@gt.edu	Computer Game		Windows	
98	Mia Hamm Soccer 64	Heavily Used	Silicon Dreams Studio   	usr011@gt.edu	Video Game		Nintendo	Cartridge
99	Kamen Rider Battride War 2	Damaged/Missing parts	Bandai Namco Games   June 24, 2014	usr011@gt.edu	Video Game		PlayStation	Optical disc
100	Police at Work! 	Like New	Jigsaw Puzzle By Ravensburger NEW	usr011@gt.edu	Jigsaw Puzzle	48		
101	The Eye of Judgment 	Heavily Used	SCE Japan   	usr011@gt.edu	Card Game			
102	A Day in the Woods	Heavily Used	RetroEpic Software	usr012@gt.edu	Computer Game		Windows	
103	Poptropica	Mint		usr012@gt.edu	Computer Game		Windows	
104	The Elder Scrolls Adventures: Redguard	Lightly Used		usr012@gt.edu	Computer Game		Windows	
105	Action Quake 2	Lightly Used	The A-Team	usr012@gt.edu	Computer Game		macOS	
106	Hot Wheels Acceleracers Collectible Card Game 	Like New	Mattel   	usr012@gt.edu	Card Game			
107	Commands & Colors: Ancients	Heavily Used	GMT Games  2006	usr012@gt.edu	Board Game			
108	Just Dance 2015	Lightly Used	Ubisoft Paris   	usr012@gt.edu	Video Game		PlayStation	Game card
109	Chariot	Like New		usr013@gt.edu	Board Game			
110	Madden NFL 16	Like New	Sports   EA Tiburon	usr013@gt.edu	Video Game		Xbox	Cartridge
111	Madden NFL 15	Like New	Sports   EA Tiburon	usr013@gt.edu	Video Game		Xbox	Game card
112	World in Conflict: Soviet Assault	Like New	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr013@gt.edu	Computer Game		macOS	
113	Path of Exile	Mint	Grinding Gear Games	usr013@gt.edu	Computer Game		Windows	
114	Suzanne Stofflet (riddles)	Like New	27/50	usr013@gt.edu	Jigsaw Puzzle	45		
115	Minecraft: Story Mode	Moderately Used	Graphic adventure & interactive movie   Telltale Games	usr013@gt.edu	Video Game		Xbox	Cartridge
116	Kaihou Shoujo SIN	Damaged/Missing parts	Sega   December 5, 2013	usr014@gt.edu	Video Game		PlayStation	Game card
117	Battlefield 2	Damaged/Missing parts	Digital Illusions CE   EA Games	usr014@gt.edu	Computer Game		macOS	
118	Age of Empires	Damaged/Missing parts	Ensemble Studios   Microsoft Game Studios	usr014@gt.edu	Computer Game		Windows	
119	Saints Row: The Third	Heavily Used	Volition   THQ	usr015@gt.edu	Computer Game		macOS	
120	Tyre	Mint	Simulations Publications, Inc.  1978	usr015@gt.edu	Board Game			
121	Moon Landing 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr015@gt.edu	Jigsaw Puzzle	35		
122	Juju	Heavily Used	Flying Wild Hog   Unreleased	usr015@gt.edu	Video Game		PlayStation	Cartridge
123	Thomas and Friends: Thomas & Ashima 	Heavily Used	Floor Puzzle By Ravensburger	usr015@gt.edu	Jigsaw Puzzle	24		
124	Kadesh	Heavily Used		usr015@gt.edu	Board Game			
125	Action Quake 2	Mint	The A-Team	usr016@gt.edu	Computer Game		macOS	
126	Kamen Rider Battride War Sousei	Moderately Used	Bandai Namco Games   February 25, 2016	usr016@gt.edu	Video Game		PlayStation	Optical disc
127	Mars: War Logs	Damaged/Missing parts	Role Playing   Spiders	usr016@gt.edu	Video Game		Xbox	Optical disc
128	Major League Baseball 2K7	Mint	Sports   Kush Games	usr016@gt.edu	Video Game		Xbox	Optical disc
129	Magic: The Gathering 2012	Mint	Card & Board   Stainless Games	usr016@gt.edu	Video Game		Xbox	Optical disc
130	Battlefield 2	Heavily Used	Digital Illusions CE   EA Games	usr016@gt.edu	Computer Game		macOS	
131	World in Conflict	Moderately Used	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr016@gt.edu	Computer Game		macOS	
132	Hannibal at Bay	Like New	Avalanche Press  2000	usr016@gt.edu	Board Game			
133	Actua Ice Hockey	Mint		usr016@gt.edu	Computer Game		Windows	
134	Marvel Puzzle Quest: Dark Reign	Damaged/Missing parts	Puzzle & Trivia   WayForward Technologies	usr016@gt.edu	Video Game		Xbox	Cartridge
135	Jewish War	Lightly Used		usr016@gt.edu	Board Game			
136	NASCAR '99	Heavily Used	EA Sports   	usr016@gt.edu	Video Game		Nintendo	Game card
137	Spore	Damaged/Missing parts	Maxis   Electronic Arts	usr017@gt.edu	Computer Game		macOS	
138	Brothers in Arms: Hell's Highway	Like New		usr017@gt.edu	Computer Game		macOS	
139	Just Dance 2016	Mint	Ubisoft Paris   	usr017@gt.edu	Video Game		PlayStation	Cartridge
140	Explore Space	Mint	Jigsaw Puzzle By Ravensburger NEW	usr017@gt.edu	Jigsaw Puzzle	60		
141	Kiba Trading Card Game 	Moderately Used	Upper Deck   	usr017@gt.edu	Card Game			
142	Middle-earth: Shadow of Mordor	Moderately Used	Action role-playing game   Monolith Productions	usr017@gt.edu	Video Game		Xbox	Optical disc
143	Chandragupta	Lightly Used	GMT Games  2008	usr017@gt.edu	Board Game			
144	World of Warplanes	Mint	Wargaming	usr017@gt.edu	Computer Game		macOS	
145	Hero Attax 	Like New		usr017@gt.edu	Card Game			
146	Mass Effect 2	Moderately Used		usr018@gt.edu	Video Game		Xbox	Cartridge
147	Vibrance Under the Sea 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr018@gt.edu	Jigsaw Puzzle	48		
148	Blitzkrieg	Like New	Nival Interactive   CDV, 1C Company, Virtual Programming	usr018@gt.edu	Computer Game		macOS	
149	Masquerade: The Baubles of Doom	Mint	Action & Adventure   Big Ant Studios	usr018@gt.edu	Video Game		Xbox	Game card
150	Gasaraki Mission Director 	Like New		usr019@gt.edu	Card Game			
151	Pony Island	Heavily Used	Daniel Mullins Games	usr019@gt.edu	Computer Game		Windows	
152	Assassin's Creed Rogue	Like New	Ubisoft Montreal   Ubisoft	usr019@gt.edu	Computer Game		macOS	
153	Choro Q 64JP	Heavily Used	Locomotive Corporation   TakaraJP	usr019@gt.edu	Video Game		Nintendo	Game card
154	Young Jedi Collectible Card Game	Damaged/Missing parts	Decipher Inc.   	usr019@gt.edu	Card Game			
155	Monster Hunter Frontier G7	Heavily Used	Action role-playing, Expansion   Capcom	usr019@gt.edu	Video Game		Xbox	Cartridge
156	Teenage Mutant Ninja Turtles Trading Card Game 	Moderately Used	Upper Deck   	usr019@gt.edu	Card Game			
157	X-Men 	Heavily Used		usr019@gt.edu	Card Game			
158	Battles in Time	Like New		usr019@gt.edu	Computer Game		Windows	
159	Pet Fair Fun 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr019@gt.edu	Jigsaw Puzzle	35		
160	Preparing to Fly 	Damaged/Missing parts	Floor Jigsaw Puzzle By Ravensburger	usr019@gt.edu	Jigsaw Puzzle	24		
161	HumanKind 	Mint	SALO   	usr019@gt.edu	Card Game			
162	Transformers 	Heavily Used	Wizards of the Coast   	usr020@gt.edu	Card Game			
163	World of Warplanes	Damaged/Missing parts	Wargaming	usr020@gt.edu	Computer Game		macOS	
164	A Duel Hand Disaster: Trackher	Mint	Ask An Enemy Studios	usr020@gt.edu	Computer Game		Windows	
165	Gundam War: Mobile Suit Gundam the Card Game 	Moderately Used	Bandai   	usr020@gt.edu	Card Game			
166	A Hat in Time	Damaged/Missing parts	Gears for Breakfast	usr020@gt.edu	Computer Game		macOS	
167	Silent Hunter III	Heavily Used	Ubisoft Bucharest   Ubisoft	usr020@gt.edu	Computer Game		Linux	
168	Molly Delany (art)	Like New		usr020@gt.edu	Jigsaw Puzzle	53		
169	SimCity 2000	Damaged/Missing parts	Maxis   Electronic Arts	usr021@gt.edu	Computer Game		Linux	
170	Major League Baseball 2K10	Mint	Sports   Visual Concepts	usr021@gt.edu	Video Game		Xbox	Optical disc
171	John Carpenter's Psychopath	Heavily Used	Titan Productions   	usr021@gt.edu	Video Game		PlayStation	Optical disc
172	John Woo Presents: Stranglehold	Lightly Used	Midway Chicago   	usr021@gt.edu	Video Game		PlayStation	Game card
173	Assassin's Creed II	Like New	Ubisoft Montreal   Ubisoft	usr022@gt.edu	Computer Game		Windows	
174	A.D.A.M. The Inside Story	Moderately Used	Columbia Healthcare Corporation	usr022@gt.edu	Computer Game		Linux	
175	uDraw Marvel Super Hero Squad: Comic Combat	Like New	Fighting   Griptonite Games	usr022@gt.edu	Video Game		Xbox	Optical disc
176	Force of Will 	Damaged/Missing parts	Force of Will Ltd.   	usr022@gt.edu	Card Game			
177	A Chair in a Room: Greenwater	Damaged/Missing parts	Wolf & Wood Interactive Ltd	usr022@gt.edu	Computer Game		Windows	
178	JoJo's Bizarre Adventure: All Star Battle	Lightly Used	CyberConnect2   October 29, 2013	usr022@gt.edu	Video Game		PlayStation	Optical disc
179	Beasts and Bumpkins	Moderately Used	Worldweaver Ltd   Electronic Arts	usr022@gt.edu	Computer Game		macOS	
180	Jetpack Joyride	Damaged/Missing parts	Halfbrick Studios   Unreleased	usr022@gt.edu	Video Game		PlayStation	Cartridge
181	SWAT 4	Mint	Irrational Games   Vivendi Universal Games, Sierra Entertainment	usr022@gt.edu	Computer Game		Linux	
182	Age of Empires	Lightly Used	Ensemble Studios   Microsoft Game Studios	usr022@gt.edu	Computer Game		Windows	
183	Jeu des petits chevaux	Heavily Used	France  Single six-sided die	usr022@gt.edu	Board Game			
184	Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu	Lightly Used	Sega   May 31, 2012	usr022@gt.edu	Video Game		PlayStation	Optical disc
185	Young Jedi Collectible Card Game	Like New		usr023@gt.edu	Card Game			
186	Conquest of the Empire	Damaged/Missing parts	Citadel Games  1981?	usr023@gt.edu	Board Game			
187	Star Citizen	Heavily Used	Cloud Imperium Games Corporation	usr023@gt.edu	Computer Game		Windows	
188	Ace Lightning	Damaged/Missing parts	Absolute Studios   Gamezlab	usr023@gt.edu	Computer Game		macOS	
189	Age of Wonders: Shadow Magic	Damaged/Missing parts	Triumph Studios   Gathering of Developers	usr023@gt.edu	Computer Game		Windows	
190	Peter Pan & the Irate Pirate	Lightly Used	Molly Delaney (art)	usr023@gt.edu	Jigsaw Puzzle	58		
191	Wargame: Red Dragon	Like New	Eugen Systems   Focus Home Interactive	usr023@gt.edu	Computer Game		Windows	
192	Madden NFL 10	Heavily Used		usr023@gt.edu	Video Game		Xbox	Game card
193	The Dragon's Wrath 	Lightly Used	Naipes Heraclio Fournier   	usr023@gt.edu	Card Game			
194	Prince of Persia: Warrior Within	Heavily Used	Ubisoft Montreal, Pipeworks Software, Gameloft   Ubisoft, Gameloft	usr024@gt.edu	Computer Game		Windows	
195	Age of Empires II: The African Kingdoms	Moderately Used	Ensemble Studios   Microsoft Game Studios	usr024@gt.edu	Computer Game		Windows	
196	Banished	Moderately Used	Shining Rock Software	usr024@gt.edu	Computer Game		Windows	
197	Doctor Who: The Collectible Trading Card Game	Mint	M.M.G. Ltd.   	usr025@gt.edu	Card Game			
198	Unlimited VS 	Like New	SK Japan   	usr025@gt.edu	Card Game			
199	Uckers	Like New	England  Two six-sided dice	usr025@gt.edu	Board Game			
200	Portal	Damaged/Missing parts	Valve   Valve, Microsoft Game Studios	usr025@gt.edu	Computer Game		Windows	
201	Teen Titans Collectible Card Game 	Damaged/Missing parts	Bandai   	usr025@gt.edu	Card Game			
202	World of Warcraft: Legion	Damaged/Missing parts	Blizzard Entertainment	usr025@gt.edu	Computer Game		macOS	
203	MLB Bobblehead Battle	Damaged/Missing parts	Sports & Recreation   Konami	usr025@gt.edu	Video Game		Xbox	Cartridge
204	Patolli	Moderately Used	Mesoamerica  Five or six thrown marked black beans	usr025@gt.edu	Board Game			
205	Star Wars Galaxies	Like New	Sony Online Entertainment   Electronic Arts, LucasArts	usr025@gt.edu	Computer Game		Linux	
206	Silent Hunter 5: Battle of the Atlantic	Damaged/Missing parts	Ubisoft Bucharest   Ubisoft	usr025@gt.edu	Computer Game		macOS	
207	Postal III	Moderately Used	Running with Scissors   Akella	usr025@gt.edu	Computer Game		Windows	
208	Age of Empires II: The Age of Kings	Heavily Used	Ensemble Studios   Microsoft Game Studios, Konami	usr026@gt.edu	Computer Game		macOS	
209	John Carpenter's Psychopath	Mint	Titan Productions   	usr026@gt.edu	Video Game		PlayStation	Optical disc
210	S.T.A.L.K.E.R.: Call of Pripyat	Like New	GSC Game World   Viva Media	usr026@gt.edu	Computer Game		Windows	
211	GT InteractivePAL	Moderately Used	Action/First-Person Shooter   1998-03-24NA	usr026@gt.edu	Video Game		Nintendo	Game card
212	Monster Hunter Frontier G5	Heavily Used	Action role-playing, Expansion   Capcom	usr027@gt.edu	Video Game		Xbox	Game card
213	Assassin's Creed II	Heavily Used	Ubisoft Montreal   Ubisoft	usr027@gt.edu	Computer Game		Windows	
214	Abomination: The Nemesis Project	Like New	Hothouse Creations   Eidos Interactive	usr027@gt.edu	Computer Game		macOS	
215	Splashing Mermaids 	Heavily Used		usr027@gt.edu	Jigsaw Puzzle	24		
216	Pax Softnica	Like New	Nintendo   Action/3D Rail Shooter	usr027@gt.edu	Video Game		Nintendo	Optical disc
217	Portal 2	Like New	Valve	usr027@gt.edu	Computer Game		Linux	
218	X610Z existenz 	Moderately Used	Quantuum Magic   	usr027@gt.edu	Card Game			
219	Pilotwings 64	Heavily Used	Nintendo EAD   	usr027@gt.edu	Video Game		Nintendo	Optical disc
220	Killing Floor 2	Heavily Used	Tripwire Interactive	usr028@gt.edu	Computer Game		macOS	
221	Micro Machines 64 Turbo	Damaged/Missing parts	Codemasters   Midway Home EntertainmentNA	usr028@gt.edu	Video Game		Nintendo	Cartridge
222	Amnesia: A Machine for Pigs	Damaged/Missing parts		usr028@gt.edu	Computer Game		Windows	
223	Beasts and Bumpkins	Damaged/Missing parts	Worldweaver Ltd   Electronic Arts	usr028@gt.edu	Computer Game		macOS	
224	AD&D Masterpiece Collection	Damaged/Missing parts	Strategic Simulations	usr028@gt.edu	Computer Game		Windows	
225	Coppit	Lightly Used		usr028@gt.edu	Board Game			
226	Pokemon Planet	Mint	Brody	usr028@gt.edu	Computer Game		Windows	
227	Meet the Robinsons	Like New	Action-adventure, Platformer   Avalanche Software	usr028@gt.edu	Video Game		Xbox	Game card
228	Empire Earth III	Moderately Used	Mad Doc Software   Sierra Entertainment	usr028@gt.edu	Computer Game		Linux	
229	Hannibal	Like New	Histo Games  1969	usr028@gt.edu	Board Game			
230	NHL Breakaway 99	Heavily Used	Iguana West   Acclaim Sports	usr028@gt.edu	Video Game		Nintendo	Game card
231	Magic: The Gathering 2013	Mint	Card & Board   Stainless Games	usr028@gt.edu	Video Game		Xbox	Cartridge
232	Off with Her Head	Damaged/Missing parts	Jennifer Brown (art)	usr029@gt.edu	Jigsaw Puzzle	42		
233	Doomtrooper	Damaged/Missing parts	Target Games   	usr029@gt.edu	Card Game			
234	Anno 1602	Mint	Max Design   Sunflowers	usr029@gt.edu	Computer Game		Windows	
235	Empire: Total War	Like New	The Creative Assembly, Feral Interactive   Sega, Feral Interactive	usr029@gt.edu	Computer Game		Windows	
236	Cardcaptors Trading Card Game	Moderately Used		usr029@gt.edu	Card Game			
237	Beast Clans	Lightly Used	Beast Clans LLC   	usr029@gt.edu	Card Game			
238	Prison Architect	Mint	Introversion Software	usr029@gt.edu	Computer Game		macOS	
239	Madden NFL 12	Like New	Sports   EA Tiburon	usr029@gt.edu	Video Game		Xbox	Game card
240	Call of Cthulhu: Collectible Card Game	Mint	Fantasy Flight Games   	usr029@gt.edu	Card Game			
241	Blade Symphony	Damaged/Missing parts	Puny Human   Puny Human Games	usr030@gt.edu	Computer Game		macOS	
242	PGA European TourNA	Heavily Used	Infogrames Sheffield House   Infogrames	usr030@gt.edu	Video Game		Nintendo	Optical disc
243	Joysound Dive (app)	Like New		usr030@gt.edu	Video Game		PlayStation	Cartridge
244	MLB Bobblehead Battle	Lightly Used		usr030@gt.edu	Video Game		Xbox	Cartridge
245	Amnesia: A Machine for Pigs	Like New	The Chinese Room   Frictional Games	usr030@gt.edu	Computer Game		Windows	
246	Mars: War Logs	Lightly Used	Role Playing   Spiders	usr030@gt.edu	Video Game		Xbox	Optical disc
247	Megamind: Ultimate Showdown	Damaged/Missing parts	Action   THQ	usr030@gt.edu	Video Game		Xbox	Cartridge
248	Starsector	Like New		usr030@gt.edu	Computer Game		Windows	
249	Adrift (video game)	Moderately Used	Three One Zero   505 Games	usr030@gt.edu	Computer Game		Linux	
250	Act of Aggression	Moderately Used	Eugen Systems   Focus Home Interactive	usr031@gt.edu	Computer Game		Windows	
251	Age of Empires II: HD Edition	Moderately Used	Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios	usr031@gt.edu	Computer Game		Linux	
252	Middle-earth: Shadow of Mordor	Mint	Action role-playing game   Monolith Productions	usr031@gt.edu	Video Game		Xbox	Optical disc
253	Jeremy McGrath's Offroad	Lightly Used	2XL Games   Unreleased	usr032@gt.edu	Video Game		PlayStation	Optical disc
254	Thorgal Kolekcjonerska Gra Karciana	Like New	Egmont Polksa   	usr032@gt.edu	Card Game			
255	Beyond Good & Evil	Lightly Used	Ubisoft Pictures, Ubisoft Milan   Ubisoft	usr032@gt.edu	Computer Game		Windows	
256	Jikkyou Powerful Pro Yakyuu 2016	Mint	Konami   April 28, 2016	usr033@gt.edu	Video Game		PlayStation	Optical disc
257	Batman: Arkham Asylum	Lightly Used	Rocksteady Studios   Warner Bros. Interactive Entertainment	usr033@gt.edu	Computer Game		Windows	
258	Battleground 3: Waterloo	Moderately Used	TalonSoft	usr033@gt.edu	Computer Game		Windows	
259	Ancients	Lightly Used	Good Industries  1990	usr033@gt.edu	Board Game			
260	NBA Showtime: NBA on NBC	Lightly Used	Midway Games   	usr034@gt.edu	Video Game		Nintendo	Cartridge
261	Harry Potter Trading Card Game	Heavily Used		usr034@gt.edu	Card Game			
262	Age of Empires II: HD Edition	Mint	Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios	usr034@gt.edu	Computer Game		Linux	
